FIPS,State,County,Weighted_Mean_Score,F1_hardship,F2_geo_inacc,F3_urban_access,F4_alt_outlets,F5_retail_env
30089,Montana,Sanders County,0.933524274,0.586024207,0.564400479,1.19163179,0.547521518,1.778043378
29197,Missouri,Schuyler County,0.930843593,0.361103053,3.147582872,1.311163972,-0.92648869,0.760856759
17153,Illinois,Pulaski County,0.924241247,2.364378441,0.696480324,1.068511593,-0.906008618,1.397844496
20063,Kansas,Gove County,0.916207492,-0.926449038,3.405692017,1.648120476,-0.918248715,1.37192272
17059,Illinois,Gallatin County,0.915562048,1.242682799,2.378284133,1.306928876,-0.939774277,0.589688711
2068,Alaska,Denali Borough,0.912857349,-1.41868805,3.677647887,0.664877082,-0.793032628,2.433482454
38087,North Dakota,Slope County,0.911293776,-1.290874398,3.115070391,1.555670889,-0.882552983,2.059154982
48011,Texas,Armstrong County,0.904799493,-0.92833441,3.28448077,1.469340531,-0.894128577,1.592639149
4012,Arizona,La Paz County,0.89550723,0.956155281,2.505523156,1.382094666,-0.940857824,0.574620871
40025,Oklahoma,Cimarron County,0.891156055,-0.428736437,2.935719131,1.525740159,-0.911429377,1.334486801
8055,Colorado,Huerfano County,0.890621005,0.630479671,1.947716157,0.230087558,0.817606992,0.827214648
38047,North Dakota,Logan County,0.880116636,-1.227760495,3.14556066,1.853480704,-0.921619767,1.550922079
38007,North Dakota,Billings County,0.879350178,-1.611896363,3.209951149,1.519376975,-0.868737579,2.14805671
49055,Utah,Wayne County,0.877598476,-0.240047187,0.990342321,1.264444006,-0.065802882,2.439056123
35031,New Mexico,McKinley County,0.873849444,2.290013008,2.905966695,-1.679813819,0.6654256,0.187655734
21133,Kentucky,Letcher County,0.865359619,2.029564029,0.421052404,-0.195709218,1.891389142,0.180501737
38045,North Dakota,LaMoure County,0.854075093,-1.199992117,2.262960844,1.885299816,-0.898715996,2.220822918
38037,North Dakota,Grant County,0.848114832,-0.712680182,1.475299991,1.992716739,-0.906767015,2.392004625
